id;date;wear_time;total_counts_axis1;total_counts_vm;axis1_per_min;vm_per_min;minutes_SED;minutes_LPA;minutes_MPA;minutes_VPA;minutes_MVPA;percent_SED;percent_LPA;percent_MPA;percent_VPA;percent_MVPA;ratio_mvpa_sed;mets_hours_mvpa;total_kcal;pal;total_steps;max_steps_60min;max_steps_30min;max_steps_20min;max_steps_5min;max_steps_1min;peak_steps_60min;peak_steps_30min;peak_steps_20min;peak_steps_5min;peak_steps_1min;ig;M1/3;M120;M60;M30;M15;M5
3;2024-03-12;984;383795;1032678,54;390,04;1049,47;339;570;75;0;75;34,45;57,93;7,62;0;7,62;0,22;0;NA;NA;11693;49,67;70,70;96,15;113,2;123;93,78;106,97;110,55;119,8;123;-1,72;2020,77;3928,56;4608,55;5324,50;6088,60;7144,85
3;2024-03-13;444;128057;291984,21;288,42;657,62;308;104;32;0;32;69,37;23,42;7,21;0;7,21;0,10;0;NA;NA;1311;10,52;16,23;22,60;32,6;51;17,82;27,33;32,45;44,2;51;-1,37;657,62;2358,05;4063,55;6160,06;7982,43;11504,53
3;2024-03-14;648;426953;1051197,12;658,88;1622,22;102;437;109;0;109;15,74;67,44;16,82;0;16,82;1,07;0;NA;NA;10680;40,65;57,83;71,60;82,4;124;82,02;93,13;99,25;116,0;124;-1,55;2143,70;4611,57;5505,02;6220,77;6848,00;8057,43
3;2024-03-15;742;331958;874000,97;447,38;1177,90;206;476;60;0;60;27,76;64,15;8,09;0;8,09;0,29;0;NA;NA;9901;45,65;65,40;84,35;121,2;125;86,82;105,47;113,80;124,4;125;-1,76;1775,99;3641,13;4321,98;4896,99;5454,82;6470,65
3;2024-03-16;670;152097;404156,27;227,01;603,22;419;222;29;0;29;62,54;33,13;4,33;0;4,33;0,07;0;NA;NA;3736;22,13;34,33;41,30;64,0;89;42,02;55,10;60,80;76,0;89;-1,76;841,99;2711,05;3642,63;4574,69;5413,98;6792,21
3;2024-03-17;3;83;98,30;27,67;32,77;3;0;0;0;0;100,00;0,00;0,00;0;0,00;0,00;0;NA;NA;1;0,02;0,03;0,05;0,2;1;0,02;0,03;0,05;0,2;1;NA;32,77;32,77;32,77;32,77;32,77;32,77
3;2024-03-18;469;187944;497329,20;400,73;1060,40;218;205;46;0;46;46,48;43,71;9,81;0;9,81;0,21;0;NA;NA;3425;18,20;20,43;26,00;51,2;89;38,63;48,80;54,35;78,0;89;-1,51;1060,40;3329,62;4437,89;5479,30;6528,03;7461,97
3;2024-03-19;655;286150;691168,42;436,87;1055,22;379;196;80;0;80;57,86;29,92;12,21;0;12,21;0,21;0;NA;NA;6360;41,48;51,73;64,80;110,0;141;63,05;81,10;91,15;119,6;141;-1,47;1439,93;4110,24;4989,56;5761,32;6423,09;7475,16
3;2024-03-20;572;65827;160799,58;115,08;281,12;472;92;8;0;8;82,52;16,08;1,40;0;1,40;0,02;0;NA;NA;1070;7,98;13,43;16,35;28,4;41;16,08;25,60;30,45;39,0;41;-1,78;335,00;1324,12;2330,60;3344,47;4039,70;5543,25
3;2024-03-21;570;413883;960352,60;726,11;1684,83;98;363;109;0;109;17,19;63,68;19,12;0;19,12;1,11;0;NA;NA;10963;45,33;65,70;71,75;91,2;124;85,72;94,83;99,40;112,8;124;-1,20;1994,97;4671,28;5503,04;6066,07;6604,11;7286,66
